Product Code,Product Name,GST %,TP,MRP
Product Code	Product Name	GST %	TP	MRP
1	ANDULANAAC-50 INJECTION	5	1,000.00	6,300.00
2	ANDULANAAT-50 INJECTION	5	1,000.00	9,450.00
3	AVIKEM INJECTION	5	320.00	3,656.00
4	BIATAXIL INJECTION	5	290.00	4,218.00
5	BIGCAL-Z TABLET	5	39.00	355.00
6	CARBOZET INJECTION (10 ML)	5	110.00	4,218.00
7	CARBOZET INJECTION (15 ML)	5	145.00	5,906.00
8	CELOTAXIL INJECTION (1.5 GM)	5	42.00	540.00
9	CELOTAXIL INJECTION (3 GM)	5	72.00	1,088.00
10	CERATAXIL-B INJECTION	5	110.00	2,531.00
11	CLINAAC-3 INJECTION	5	120.00	3,375.00
12	CLINAAC-4.5 INJECTION	5	165.00	4,218.00
13	CURCUGGEN SYRUP	5	45.00	2,669.00
14	ESOLIN INJECTION	5	10.00	176.00
15	FENOGEN INFUSION	5	27.00	375.00
16	FERONAAT-200 TABLET	5	158.00	656.00
17	FOGGEN (ORAL POWDER)	5	98.00	506.00
18	GLUTAKEM INFUSION (100 ML) ( Non PVC Bag)	5	304.00	3,375.00
19	GLUTAKEM INFUSION (50 ML) ( Non PVC Bag)	5	170.00	2,531.00
20	IMINAAC-ET INJECTION	5	235.00	1,780.00
21	IMINAAT INJECTION (1GM)	5	350.00	4,218.00
22	KEMIPENEM INJECTION (500 MG)	5	370.00	2,375.00
23	MEROTAXIL 1 GM INJECTION	5	62.00	890.00
24	MEROTAXIL-500 INJECTION	5	38.00	751.00
25	MEROTAXIL INJECTION (2 GM)	5	145.00	2,531.00
26	MEROTAXIL- SB INJECTION (2 GM)	5	165.00	1,900.00
27	MEROTAXIL-DCB INJECTION (1 GM)	5	230.00	1,000.00
28	MEROTAXIL-DS INJECTION (1.5 GM)	5	145.00	1,663.00
29	MEROTAXIL-DT INJECTION (1.125 GM)	5	162.00	4,406.00
30	MEROTAXIL-TZ INJECTION (1.125 GM)	5	162.00	4,500.00
31	MEROTAXIL-S INJECTION (1.5 GM)	5	123.00	1,593.00
32	MINOLIN-200MG INJECTION	5	410.00	11,061.00
33	MIRONAAT-B INJECTION (750 MG)	5	65.00	1,874.00
34	MONOPIME INJECTION (2 GM)	5	88.00	1,030.00
35	MONOPIME-SB INJECTION (3 GM)	5	95.00	1,687.00
36	MYCITEC-500 TABLET	5	120.00	365.00
37	MYCITEC INFUSION (500 MG)	5	92.00	1,256.00
38	NUROTAXIL INJECTION (100 ML)	5	25.75	562.00
39	PIROKEM 2 GM INJECTION	5	145.00	2,531.00
40	PIROKEM-1 GM INJECTION	5	110.00	1,312.00
41	PIROKEM-SB INJECTION (1.5 GM)	5	145.00	2,025.00
42	PIROKEM-SB INJECTION (2 GM)	5	165.00	3,375.00
43	PIROKEM-SB INJECTION (3 GM)	5	241.00	2,784.00
44	PIROOGEN 1.5 GM INJECTION	5	145.00	1,215.00
45	PIROOGEN 3 GM INJECTION	5	210.00	2,326.00
46	POLINAAT B- 7.5 IU INJECTION	5	110.00	5,062.00
47	POLINACK-B INJECTION	5	55.00	2,343.00
48	PRASSIL T INJECTION (4 GM)	5	350.00	4,218.00
49	PROGA	5	100.00	2,402.00
50	TECPIME INJECTION (1.5 GM)	5	45.00	658.00
51	TECPIME INJECTION (3 GM)	5	84.00	1,190.00
52	TECPIME-SB INJECTION (1.5 GM)	5	45.00	843.00
53	TECPIME-SB INJECTION (3 GM)	5	84.00	1,687.00
54	THIONAC-600 INJECTION	5	145.00	1,687.00
55	THIONAC-1200 INJECTION	5	315.00	3,656.00
56	TIGINAC-100 INJECTION	5	245.00	7,499.00
57	TIGINAC-ED INJECTION (50 MG)	5	105.00	4,218.00
58	TYCOZEN-600 INJECTION	5	382.00	6,300.00
59	TYCOZEN-DCB INJECTION (400 MG)	5	385.00	4,500.00
60	TYMOL INFUSION (100 ML)	5	53.00	358.00
61	TYPAN INJECTION (20 MG)	5	26.00	124.00
62	UBHAMOL INFUSION (100 ML)	5	64.00	599.00
63	UBHATAM INJECTION	5	23.00	115.00
64	ZIDIGGEN INJECTION (1.5 GM)	5	48.00	928.00
65	ZIDIGGEN INJECTION (3 GM)	5	86.00	1,670.00
66	ZIDIGGEN-AV INJECTION (1.125 GM)	5	210.00	3,375.00
67	ZOXIIMAC-S INJECTION (1.5 GM)	5	85.00	1,687.00
68	ZTOKEM INJECTION (1 GM)	5	70.00	666.00
69	ZTOKEM INJECTION (2 GM)	5	132.00	1,312.00
70	SETRODEN ORAL SPRAY	5	54.00	750.00
71	AZOTAVIX INJECTION (2 Gm)	5	580.00	7,777.00
72	ZIDIGGEN-AV INJECTION (2.5 GM)	5	285.00	7,450.00
73	KEMICEF INJECTION	5	110.00	2,500.00
